date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,time_day,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_196_normalized,smart_197_normalized,smart_198_normalized,smart_200_normalized,smart_254_normalized,end_date,vida_util_days,vida_util_restante,vida_util_restante_int
2016-01-01,Z300YTZ7,ST4000DM000,1.976651427858e-311,0,114,,95,100,87,,427.3333333333333,100.0,99.0,18.0,,,100,100,,,2016-04-18,535.2916666666666,108 days 00:00:00.000000000,108.0
2016-01-01,W300BSKD,ST4000DM000,1.976651427858e-311,0,108,,92,100,88,,924.5833333333334,100.0,85.0,25.0,,,100,100,,,2016-01-06,929.5833333333334,5 days 00:00:00.000000000,5.0
2016-01-01,S300VLF9,ST4000DM000,1.976651427858e-311,0,114,,96,100,81,,155.375,100.0,81.0,26.0,,,100,100,,,2016-04-11,256.2916666666667,101 days 00:00:00.000000000,101.0
2016-01-01,W0Q7G36S,ST320LT007,1.581370405447e-312,0,115,,98,100,87,,1106.4166666666667,100.0,9.0,32.0,54.0,,100,100,,100.0,2016-04-28,1225.7083333333333,118 days 00:00:00.000000000,118.0
2016-01-01,Z3025KHS,ST4000DM000,1.976651427858e-311,0,119,,98,100,86,,413.2916666666667,100.0,96.0,29.0,,,100,100,,,2016-04-28,531.2083333333334,118 days 00:00:00.000000000,118.0
2016-01-01,S30114J3,ST4000DM000,1.976651427858e-311,0,119,,92,100,84,,258.2916666666667,100.0,89.0,20.0,,,100,100,,,2016-04-04,352.2083333333333,94 days 00:00:00.000000000,94.0
2016-01-01,PL1301LAG3594H,Hitachi HDS5C4040ALE630,1.976651427858e-311,0,58,135.0,126,91,100,111.0,1026.5833333333333,100.0,100.0,230.0,,66.0,100,100,,,2016-01-02,1027.5833333333333,1 days 00:00:00.000000000,1.0
2016-01-01,WD-WMC4N1316862,WDC WD30EFRX,1.4824899095664e-311,0,200,,100,200,200,,691.6666666666666,200.0,195.0,132.0,,200.0,200,100,100.0,,2016-01-17,707.6666666666666,16 days 00:00:00.000000000,16.0
2016-01-01,JK11A8B9J388ZF,Hitachi HDS722020ALA330,9.88328391275e-312,0,100,100.0,138,100,100,100.0,1759.7916666666667,99.0,99.0,153.0,,100.0,100,100,,,2016-01-05,1763.8333333333333,4 days 00:00:00.000000000,4.0
2016-01-01,JK1101B9JP60TU,Hitachi HDS722020ALA330,9.88328391275e-312,0,100,100.0,122,100,100,100.0,1750.5,100.0,100.0,230.0,,100.0,100,100,,,2016-01-10,1759.5416666666667,9 days 00:00:00.000000000,9.0
2016-01-01,Z30054Q5,ST4000DM000,1.976651427858e-311,0,118,,92,100,84,,728.0833333333334,100.0,96.0,22.0,,,100,100,,,2016-01-03,730.5,2 days 00:00:00.000000000,2.0
2016-01-01,W0Q6GWHX,ST320LT007,1.581370405447e-312,0,109,,98,100,87,,1123.4583333333333,100.0,28.0,32.0,56.0,,100,100,,100.0,2016-04-28,1242.75,118 days 00:00:00.000000000,118.0
2016-01-01,WD-WCAMD1671734,WDC WD800BB,3.95382761547e-313,0,200,,167,200,100,,2706.0416666666665,,,109.0,,200.0,200,200,200.0,,2016-04-27,2822.6666666666665,117 days 00:00:00.000000000,117.0
2016-01-01,WD-WMAV3J935956,WDC WD800AAJS,3.95382761547e-313,0,200,,136,200,200,,1356.875,200.0,200.0,112.0,,200.0,200,200,200.0,,2016-04-26,1472.6666666666667,116 days 00:00:00.000000000,116.0
2016-01-01,Z3014P58,ST4000DM000,1.976651427858e-311,0,108,,91,100,87,,673.3333333333334,100.0,53.0,26.0,,,100,100,,,2016-01-17,689.3333333333334,16 days 00:00:00.000000000,16.0
2016-01-01,W3005VKC,ST4000DM000,1.976651427858e-311,0,118,,93,100,87,,286.5,100.0,97.0,22.0,,,100,100,,,2016-04-26,402.5,116 days 00:00:00.000000000,116.0
2016-01-01,Z302A13D,ST4000DM000,1.976651427858e-311,0,119,,97,100,84,,328.3333333333333,100.0,79.0,18.0,,,100,100,,,2016-04-29,447.2916666666667,119 days 00:00:00.000000000,119.0
2016-01-01,Z300X1K0,ST4000DM000,1.976651427858e-311,0,114,,91,100,79,,713.3333333333334,100.0,96.0,32.0,,,100,100,,,2016-04-27,830.2916666666666,117 days 00:00:00.000000000,117.0
2016-01-01,Z3015CEW,ST4000DM000,1.976651427858e-311,0,117,,96,100,82,,651.3333333333334,100.0,99.0,32.0,,,100,100,,,2016-01-20,670.3333333333334,19 days 00:00:00.000000000,19.0
2016-01-01,JK11A8B9HTY23F,Hitachi HDS722020ALA330,9.88328391275e-312,0,73,116.0,100,92,100,46.0,743.0416666666666,96.0,96.0,230.0,,91.0,100,100,,,2016-01-04,746.0416666666666,3 days 00:00:00.000000000,3.0
2016-01-01,WD-WCAYUAS62352,WDC WD1600AAJS,7.9071197618e-313,0,200,,137,200,100,,1501.9166666666667,200.0,200.0,116.0,,200.0,200,100,100.0,,2016-04-06,1596.4583333333333,96 days 00:00:00.000000000,96.0
2016-01-01,Z3001J37,ST4000DM000,1.976651427858e-311,0,113,,91,99,87,,976.5833333333334,100.0,11.0,35.0,,,100,100,,,2016-04-01,1067.5416666666667,91 days 00:00:00.000000000,91.0
